label,n_repeats,repeat,condition,ap,auc,p_at_n,r_precision
label_entry,20,1,GB_baseline,0.3019875718422763,0.8440727988194786,0.3,0.34210526315789475
label_entry,20,2,GB_baseline,0.3870823646913425,0.8730939498278407,0.4,0.3157894736842105
label_entry,20,3,GB_baseline,0.409647806304951,0.8664535169699952,0.45,0.39473684210526316
label_entry,20,4,GB_baseline,0.4041934996752753,0.8867027381537956,0.4,0.39473684210526316
label_entry,20,5,GB_baseline,0.3482437568203016,0.8508771929824561,0.4,0.2894736842105263
label_entry,20,6,GB_baseline,0.37356147181983196,0.8584194130185276,0.45,0.42105263157894735
label_entry,20,7,GB_baseline,0.31699350690290556,0.823413674372848,0.25,0.3157894736842105
label_entry,20,8,GB_baseline,0.3701388292165839,0.8493195605837023,0.5,0.39473684210526316
label_entry,20,9,GB_baseline,0.3516038111152753,0.8626824069519594,0.35,0.39473684210526316
label_entry,20,10,GB_baseline,0.33439675786000866,0.8389899983603869,0.35,0.3157894736842105
label_entry,20,11,GB_baseline,0.3818067408192857,0.8412854566322349,0.6,0.34210526315789475
label_entry,20,12,GB_baseline,0.4103282965605078,0.8734218724381047,0.35,0.47368421052631576
label_entry,20,13,GB_baseline,0.414183776082246,0.839645843580915,0.45,0.3684210526315789
label_entry,20,14,GB_baseline,0.3280833017932596,0.8422692244630268,0.4,0.23684210526315788
label_entry,20,15,GB_baseline,0.3646409052619905,0.8601410067224136,0.45,0.34210526315789475
label_entry,20,16,GB_baseline,0.3214119540534399,0.8400557468437448,0.25,0.4473684210526316
label_entry,20,17,GB_baseline,0.3538204774921416,0.8701426463354649,0.4,0.3684210526315789
label_entry,20,18,GB_baseline,0.3672472290139102,0.8567797999672077,0.35,0.39473684210526316
label_entry,20,19,GB_baseline,0.3498884932566628,0.8573536645351697,0.35,0.42105263157894735
label_entry,20,20,GB_baseline,0.3979081568729813,0.8594031808493197,0.45,0.39473684210526316
label_entry,20,1,GB_sample_weight,0.4437175892242677,0.8653057878340711,0.45,0.4473684210526316
label_entry,20,2,GB_sample_weight,0.4425278251861954,0.8741596983111987,0.45,0.34210526315789475
label_entry,20,3,GB_sample_weight,0.44988058711893975,0.8664535169699952,0.5,0.42105263157894735
label_entry,20,4,GB_sample_weight,0.47178372042434463,0.8881783898999835,0.5,0.42105263157894735
label_entry,20,5,GB_sample_weight,0.37358056060026973,0.8535005738645679,0.4,0.3684210526315789
label_entry,20,6,GB_sample_weight,0.4429759977049908,0.8774389244138384,0.5,0.42105263157894735
label_entry,20,7,GB_sample_weight,0.4145658866911931,0.8430890309886867,0.45,0.3684210526315789
label_entry,20,8,GB_sample_weight,0.4130681641420142,0.8498114444990982,0.4,0.34210526315789475
label_entry,20,9,GB_sample_weight,0.38964380194905424,0.8739957370060665,0.55,0.3684210526315789
label_entry,20,10,GB_sample_weight,0.4049600748778663,0.852926709296606,0.45,0.3684210526315789
label_entry,20,11,GB_sample_weight,0.39941461868603734,0.8439088375143466,0.55,0.3684210526315789
label_entry,20,12,GB_sample_weight,0.4227147040647531,0.8780947696343664,0.55,0.4473684210526316
label_entry,20,13,GB_sample_weight,0.4310285682877491,0.8636661747827513,0.45,0.39473684210526316
label_entry,20,14,GB_sample_weight,0.3974081578493093,0.8623544843416955,0.4,0.42105263157894735
label_entry,20,15,GB_sample_weight,0.42836848488447604,0.868503033284145,0.5,0.42105263157894735
label_entry,20,16,GB_sample_weight,0.4865595936471651,0.8785046728971962,0.6,0.47368421052631576
label_entry,20,17,GB_sample_weight,0.42930380172521243,0.8800623052959502,0.5,0.4473684210526316
label_entry,20,18,GB_sample_weight,0.44101455442990034,0.8660436137071651,0.65,0.4473684210526316
label_entry,20,19,GB_sample_weight,0.4206356882730675,0.8758812920150845,0.5,0.4473684210526316
label_entry,20,20,GB_sample_weight,0.44873251603804837,0.8588293162813576,0.6,0.4473684210526316
label_entry,20,1,GB_SMOTE,0.38257934501617497,0.8599770454172816,0.45,0.42105263157894735
label_entry,20,2,GB_SMOTE,0.4102265526808223,0.8839153959665518,0.4,0.42105263157894735
label_entry,20,3,GB_SMOTE,0.4409366396158346,0.8696507624200689,0.5,0.42105263157894735
label_entry,20,4,GB_SMOTE,0.49240308050861537,0.8916215773077555,0.55,0.4473684210526316
label_entry,20,5,GB_SMOTE,0.4161494380768792,0.8692408591572389,0.5,0.42105263157894735
label_entry,20,6,GB_SMOTE,0.3901837404808611,0.8610427939006395,0.4,0.39473684210526316
label_entry,20,7,GB_SMOTE,0.3992453645273165,0.8617806197737334,0.5,0.42105263157894735
label_entry,20,8,GB_SMOTE,0.42625757341509485,0.8620265617314313,0.45,0.42105263157894735
label_entry,20,9,GB_SMOTE,0.36894504080409124,0.8677652074110509,0.45,0.39473684210526316
label_entry,20,10,GB_SMOTE,0.38045973553192447,0.8720282013444827,0.4,0.3157894736842105
label_entry,20,11,GB_SMOTE,0.46497207005744645,0.8695687817675029,0.55,0.47368421052631576
label_entry,20,12,GB_SMOTE,0.43753839070652323,0.883423512051156,0.5,0.5
label_entry,20,13,GB_SMOTE,0.44669286621295134,0.8647319232661093,0.5,0.47368421052631576
label_entry,20,14,GB_SMOTE,0.38032196807006047,0.8699786850303328,0.45,0.39473684210526316
label_entry,20,15,GB_SMOTE,0.41177517698355526,0.8631742908673554,0.55,0.39473684210526316
label_entry,20,16,GB_SMOTE,0.4835196953541324,0.8678471880636169,0.5,0.5
label_entry,20,17,GB_SMOTE,0.37817733405607284,0.8719462206919167,0.4,0.3684210526315789
label_entry,20,18,GB_SMOTE,0.43368175460541153,0.8706345302508608,0.6,0.47368421052631576
label_entry,20,19,GB_SMOTE,0.4294388580955538,0.8726840465650105,0.5,0.3684210526315789
label_entry,20,20,GB_SMOTE,0.45777506410006014,0.8634202328250533,0.45,0.42105263157894735
label_entry,20,1,GB_HPtuned,0.3182159960303569,0.8203393999016233,0.25,0.3684210526315789
label_entry,20,2,GB_HPtuned,0.4013495341848497,0.8697327430726348,0.35,0.39473684210526316
label_entry,20,3,GB_HPtuned,0.3554150602264629,0.8353828496474832,0.45,0.39473684210526316
label_entry,20,4,GB_HPtuned,0.4590092436286171,0.8733398917855386,0.5,0.34210526315789475
label_entry,20,5,GB_HPtuned,0.36127212134680087,0.837432365961633,0.35,0.3157894736842105
label_entry,20,6,GB_HPtuned,0.37219430543497584,0.8398098048860468,0.55,0.39473684210526316
label_entry,20,7,GB_HPtuned,0.27620485516929894,0.7688965404164617,0.25,0.34210526315789475
label_entry,20,8,GB_HPtuned,0.3472500762600953,0.7992293818658797,0.25,0.34210526315789475
label_entry,20,9,GB_HPtuned,0.336045351991181,0.8312018363666175,0.35,0.2894736842105263
label_entry,20,10,GB_HPtuned,0.31821928675009564,0.8139858993277586,0.35,0.3157894736842105
label_entry,20,11,GB_HPtuned,0.4278235171906876,0.8201344482702082,0.6,0.3684210526315789
label_entry,20,12,GB_HPtuned,0.3820708583529836,0.8664535169699951,0.5,0.47368421052631576
label_entry,20,13,GB_HPtuned,0.3460141679963204,0.809722905394327,0.35,0.3157894736842105
label_entry,20,14,GB_HPtuned,0.2834806683500913,0.8145597638957206,0.3,0.2894736842105263
label_entry,20,15,GB_HPtuned,0.34613487133882215,0.8357927529103131,0.45,0.34210526315789475
label_entry,20,16,GB_HPtuned,0.34991593443840385,0.8243564518773568,0.35,0.3684210526315789
label_entry,20,17,GB_HPtuned,0.3512928346461713,0.8557960321364158,0.45,0.3684210526315789
label_entry,20,18,GB_HPtuned,0.3095667285550852,0.8348089850795213,0.3,0.3157894736842105
label_entry,20,19,GB_HPtuned,0.36111862425226043,0.8427611083784228,0.45,0.39473684210526316
label_entry,20,20,GB_HPtuned,0.4133450482843475,0.8443187407771766,0.45,0.4473684210526316
label_entry,20,1,Ensemble,0.37373193317642983,0.8658796524020331,0.45,0.39473684210526316
label_entry,20,2,Ensemble,0.39521272889853176,0.8756353500573866,0.45,0.47368421052631576
label_entry,20,3,Ensemble,0.39836913327416307,0.8544843416953599,0.45,0.4473684210526316
label_entry,20,4,Ensemble,0.46264145132424495,0.8846532218396458,0.55,0.4473684210526316
label_entry,20,5,Ensemble,0.3475982379243444,0.8393179209706509,0.4,0.3157894736842105
label_entry,20,6,Ensemble,0.3898354110588342,0.8712083948188227,0.4,0.4473684210526316
label_entry,20,7,Ensemble,0.3902557161206605,0.8444827020823085,0.4,0.42105263157894735
label_entry,20,8,Ensemble,0.38447831611106004,0.8610427939006395,0.35,0.4473684210526316
label_entry,20,9,Ensemble,0.3664985109623945,0.8737497950483686,0.4,0.3684210526315789
label_entry,20,10,Ensemble,0.3464905815750633,0.8539104771273979,0.35,0.42105263157894735
label_entry,20,11,Ensemble,0.3995107675207939,0.854812264305624,0.45,0.39473684210526316
label_entry,20,12,Ensemble,0.43742776186320226,0.8753894080996885,0.5,0.47368421052631576
label_entry,20,13,Ensemble,0.4251661696680067,0.8555500901787179,0.55,0.42105263157894735
label_entry,20,14,Ensemble,0.3818446621299249,0.8497294638465323,0.45,0.34210526315789475
label_entry,20,15,Ensemble,0.365405050326903,0.8560419740941138,0.45,0.39473684210526316
label_entry,20,16,Ensemble,0.4593633094452955,0.8771929824561404,0.55,0.4473684210526316
label_entry,20,17,Ensemble,0.3743007161047606,0.8687489752418429,0.5,0.42105263157894735
label_entry,20,18,Ensemble,0.40880459259546487,0.8726840465650105,0.45,0.4473684210526316
label_entry,20,19,Ensemble,0.40507328773076445,0.8701426463354649,0.45,0.4473684210526316
label_entry,20,20,Ensemble,0.4272478002177565,0.8635022134776194,0.5,0.4473684210526316
label_entry,20,1,LR_baseline,0.27140986144286233,0.8416953598950647,0.15,0.23684210526315788
label_entry,20,2,LR_baseline,0.28512215678078334,0.8492375799311362,0.25,0.3157894736842105
label_entry,20,3,LR_baseline,0.25270896779580915,0.8167732415150025,0.15,0.2894736842105263
label_entry,20,4,LR_baseline,0.2872248045685923,0.8469421216592884,0.25,0.3157894736842105
label_entry,20,5,LR_baseline,0.24460803347761495,0.8107886538776848,0.25,0.2631578947368421
label_entry,20,6,LR_baseline,0.2669680541060657,0.8297261846204296,0.1,0.3157894736842105
label_entry,20,7,LR_baseline,0.24912324014411913,0.8044761436301033,0.2,0.2631578947368421
label_entry,20,8,LR_baseline,0.28675928405888124,0.8475159862272504,0.2,0.2894736842105263
label_entry,20,9,LR_baseline,0.27069839585970545,0.8463682570913265,0.2,0.23684210526315788
label_entry,20,10,LR_baseline,0.2634770446331936,0.824315461551074,0.2,0.23684210526315788
label_entry,20,11,LR_baseline,0.2656869531496435,0.8241515002459419,0.25,0.2631578947368421
label_entry,20,12,LR_baseline,0.29413137905405073,0.8472700442695524,0.3,0.3157894736842105
label_entry,20,13,LR_baseline,0.27454693198520946,0.823905558288244,0.25,0.3157894736842105
label_entry,20,14,LR_baseline,0.24971204039943082,0.8144777832431547,0.2,0.23684210526315788
label_entry,20,15,LR_baseline,0.25735486741212193,0.8212001967535661,0.2,0.2894736842105263
label_entry,20,16,LR_baseline,0.26967193120826555,0.8388260370552549,0.2,0.23684210526315788
label_entry,20,17,LR_baseline,0.2617025262346174,0.8248073454664699,0.1,0.2894736842105263
label_entry,20,18,LR_baseline,0.28054179524316186,0.8476799475323824,0.25,0.2631578947368421
label_entry,20,19,LR_baseline,0.2615009007270955,0.8271028037383177,0.25,0.2894736842105263
label_entry,20,20,LR_baseline,0.27183862527185143,0.8335792752910314,0.15,0.23684210526315788
