label,repeat,condition,ap
label_slope,1,GB_baseline,0.6277320389273462
label_slope,2,GB_baseline,0.6402883542093113
label_slope,3,GB_baseline,0.6430238210705314
label_slope,4,GB_baseline,0.6123623049425855
label_slope,5,GB_baseline,0.6275383952363631
label_slope,6,GB_baseline,0.6240469284997436
label_slope,7,GB_baseline,0.6439577401885185
label_slope,8,GB_baseline,0.6139053180347127
label_slope,9,GB_baseline,0.6057985864729708
label_slope,10,GB_baseline,0.6178213234662183
label_slope,1,GB_sample_weight,0.6205051023814472
label_slope,2,GB_sample_weight,0.630860340180156
label_slope,3,GB_sample_weight,0.6361287272585123
label_slope,4,GB_sample_weight,0.6009240864709207
label_slope,5,GB_sample_weight,0.6134291707184057
label_slope,6,GB_sample_weight,0.6301025852944628
label_slope,7,GB_sample_weight,0.6338224785959211
label_slope,8,GB_sample_weight,0.6127256387093488
label_slope,9,GB_sample_weight,0.6064928402907266
label_slope,10,GB_sample_weight,0.6253752989983264
label_slope,1,GB_SMOTE,0.6046337439077045
label_slope,2,GB_SMOTE,0.614928050161774
label_slope,3,GB_SMOTE,0.6124260079526452
label_slope,4,GB_SMOTE,0.6152370219721551
label_slope,5,GB_SMOTE,0.6228578914273907
label_slope,6,GB_SMOTE,0.6135802130132864
label_slope,7,GB_SMOTE,0.619796199814091
label_slope,8,GB_SMOTE,0.5822628801461062
label_slope,9,GB_SMOTE,0.6059420012960053
label_slope,10,GB_SMOTE,0.6203587778892226
label_slope,1,GB_HPtuned,0.640494356958233
label_slope,2,GB_HPtuned,0.6292612336403498
label_slope,3,GB_HPtuned,0.6691786242127528
label_slope,4,GB_HPtuned,0.5934014579790211
label_slope,5,GB_HPtuned,0.6088304140768517
label_slope,6,GB_HPtuned,0.6258071842437287
label_slope,7,GB_HPtuned,0.6343036012016194
label_slope,8,GB_HPtuned,0.6309849926793953
label_slope,9,GB_HPtuned,0.599977849848039
label_slope,10,GB_HPtuned,0.6473459464458693
label_slope,1,Ensemble,0.6419291691322189
label_slope,2,Ensemble,0.6436892863219733
label_slope,3,Ensemble,0.6809542653084061
label_slope,4,Ensemble,0.6337988005767965
label_slope,5,Ensemble,0.6513926283257571
label_slope,6,Ensemble,0.6533710537265642
label_slope,7,Ensemble,0.6587446848254218
label_slope,8,Ensemble,0.6348090725588589
label_slope,9,Ensemble,0.6560069297924042
label_slope,10,Ensemble,0.662638875794277
label_slope,1,LR_baseline,0.6059230170096848
label_slope,2,LR_baseline,0.5914474423824276
label_slope,3,LR_baseline,0.6200043950255105
label_slope,4,LR_baseline,0.5895712931895282
label_slope,5,LR_baseline,0.5995034166465866
label_slope,6,LR_baseline,0.5990158966623069
label_slope,7,LR_baseline,0.6107105329910749
label_slope,8,LR_baseline,0.589966501015971
label_slope,9,LR_baseline,0.6034195864316518
label_slope,10,LR_baseline,0.6060009371117694
