label,n_repeats,repeat,condition,ap,auc,p_at_n,r_precision
label_slope,10,1,GB_baseline,0.6277320389273462,0.7588689848963822,0.85,0.5342465753424658
label_slope,10,2,GB_baseline,0.6402883542093113,0.7817251241908776,0.85,0.6027397260273972
label_slope,10,3,GB_baseline,0.6430238210705314,0.7800943348888554,0.8,0.6027397260273972
label_slope,10,4,GB_baseline,0.6123623049425855,0.7626825229564956,0.75,0.5821917808219178
label_slope,10,5,GB_baseline,0.6275383952363631,0.7732701088865472,0.7,0.6164383561643836
label_slope,10,6,GB_baseline,0.6240469284997436,0.7698329068192082,0.75,0.5821917808219178
label_slope,10,7,GB_baseline,0.6439577401885185,0.7735962667469517,0.85,0.6095890410958904
label_slope,10,8,GB_baseline,0.6139053180347127,0.7527723418134376,0.8,0.5753424657534246
label_slope,10,9,GB_baseline,0.6057985864729708,0.768177028451001,0.75,0.589041095890411
label_slope,10,10,GB_baseline,0.6178213234662183,0.7657935671634302,0.8,0.589041095890411
label_slope,10,1,GB_sample_weight,0.6205051023814472,0.7548296452406041,0.8,0.5205479452054794
label_slope,10,2,GB_sample_weight,0.630860340180156,0.7739726027397261,0.75,0.5753424657534246
label_slope,10,3,GB_sample_weight,0.6361287272585123,0.7735711776807667,0.85,0.6027397260273972
label_slope,10,4,GB_sample_weight,0.6009240864709207,0.7534497466004315,0.75,0.5684931506849316
label_slope,10,5,GB_sample_weight,0.6134291707184057,0.7712629835917507,0.65,0.5821917808219178
label_slope,10,6,GB_sample_weight,0.6301025852944628,0.7690049676351046,0.75,0.589041095890411
label_slope,10,7,GB_sample_weight,0.6338224785959211,0.7644889357218124,0.9,0.589041095890411
label_slope,10,8,GB_sample_weight,0.6127256387093488,0.7507401274524562,0.75,0.547945205479452
label_slope,10,9,GB_sample_weight,0.6064928402907266,0.7673741783330824,0.7,0.589041095890411
label_slope,10,10,GB_sample_weight,0.6253752989983264,0.7656430327663204,0.85,0.5821917808219178
label_slope,10,1,GB_SMOTE,0.6046337439077045,0.743940990516333,0.75,0.5342465753424658
label_slope,10,2,GB_SMOTE,0.614928050161774,0.7571629283958051,0.9,0.5273972602739726
label_slope,10,3,GB_SMOTE,0.6124260079526452,0.7619298509709468,0.75,0.5684931506849316
