행정동코드,자치구,행정동,전이확률_GB,전이확률_정규화,Avoidance,Shadow_Score,위험등급,dep_2025,dep_slope_annual
1124069,송파구,문정2동,0.8831,99.61529757863771,60.6,89.86,최고위험,59.2,3.780000000000001
1123065,강남구,역삼2동,0.8865,100.0,59.2,89.8,최고위험,60.5,2.5
1112074,은평구,역촌동,0.8346,94.1276306856755,67.8,87.55,최고위험,63.9,2.08
1114077,마포구,공덕동,0.8777,99.00429961529758,50.2,86.8,최고위험,61.4,1.420000000000001
1116067,강서구,발산1동,0.8603,97.03552840009053,52.3,85.85,최고위험,56.6,0.6400000000000006
1118052,금천구,독산1동,0.8352,94.19551934826885,59.6,85.55,최고위험,64.3,2.6499999999999995
1125072,강동구,암사1동,0.8414,94.8970355284001,53.6,84.57,최고위험,59.3,2.24
1116064,강서구,가양1동,0.8408,94.82914686580675,52.3,84.2,최고위험,58.6,0.9400000000000006
1111066,노원구,상계2동,0.7002,78.92057026476579,100.0,84.19,최고위험,56.8,1.1599999999999988
1105053,광진구,화양동,0.8099,91.33288074224937,56.5,82.62,최고위험,65.1,2.53
1123059,강남구,삼성2동,0.7995,90.1561439239647,59.2,82.42,최고위험,58.4,1.879999999999999
1111079,노원구,공릉1동,0.6598,74.34940031681376,100.0,80.76,최고위험,61.3,1.499999999999999
1109070,강북구,미아동,0.7658,86.34306404163839,63.8,80.71,최고위험,58.3,3.049999999999998
1125063,강동구,천호3동,0.7728,87.13509843856076,53.6,78.75,고위험,58.9,1.8999999999999992
1119072,영등포구,대림3동,0.7267,81.91898619597194,67.4,78.29,고위험,57.5,2.01
1119071,영등포구,대림2동,0.6921,78.0040733197556,67.4,75.35,고위험,60.6,1.6200000000000003
1110055,도봉구,방학1동,0.6456,72.74270196877121,79.5,74.43,고위험,60.7,1.45
1123063,강남구,대치4동,0.6742,75.97872821905409,59.2,71.78,고위험,60.0,1.9400000000000008
1105054,광진구,군자동,0.6774,76.3408010862186,56.5,71.38,고위험,56.2,1.6200000000000017
1104054,성동구,마장동,0.6452,72.69744286037565,58.2,69.07,고위험,57.5,0.0100000000000001
1122052,서초구,서초2동,0.8123,91.60443539262278,0.0,68.7,고위험,56.0,1.9200000000000004
1109063,강북구,수유1동,0.6017,67.775514822358,63.8,66.78,고위험,57.9,4.069999999999999
1107060,중랑구,상봉2동,0.6559,73.908124009957,42.3,66.01,고위험,59.9,1.0799999999999983
