자치구코드,자치구,Avoidance,Avoidance_3var,A_도움부재,B_외로움부정,C_복지불신,D_네트워크축소,n_가구주,n_지역사회
350,노원구,100.0,100.0,0.4166666666666667,3.631205673758865,2.5555555555555554,0.6217687074829933,141,84
320,도봉구,79.5,79.2,0.42105263157894735,3.125,2.6944444444444446,0.5795454545454546,72,38
380,은평구,67.8,82.4,0.54,3.019607843137255,2.5714285714285716,0.3992753623188406,102,50
560,영등포구,67.4,71.3,0.4095238095238095,3.102222222222222,2.5934065934065935,0.5077380952380951,225,105
305,강북구,63.8,74.8,0.37333333333333335,3.3461538461538463,2.484848484848485,0.42613981762917935,156,75
710,송파구,60.6,71.9,0.27710843373493976,3.287128712871287,2.7384615384615385,0.41890873015873015,202,83
545,금천구,59.6,75.4,0.42592592592592593,3.3278688524590163,2.382978723404255,0.3648233486943165,122,54
680,강남구,59.2,65.1,0.1951219512195122,3.38125,2.710526315789474,0.46994949494949495,160,82
200,성동구,58.2,53.6,0.41935483870967744,3.231707317073171,2.074074074074074,0.566358024691358,82,31
215,광진구,56.5,58.2,0.3787878787878788,3.0762711864406778,2.442622950819672,0.5020325203252032,118,66
740,강동구,53.6,39.8,0.2807017543859649,3.189655172413793,2.204081632653061,0.6499999999999999,116,57
500,강서구,52.3,56.3,0.29838709677419356,3.297752808988764,2.3653846153846154,0.467624521072797,178,124
170,용산구,50.7,45.7,0.3508771929824561,2.9722222222222223,2.381818181818182,0.5567567567567567,108,57
440,마포구,50.2,48.0,0.16666666666666666,3.563380281690141,2.242424242424242,0.525,71,36
290,성북구,44.6,43.4,0.2619047619047619,3.29126213592233,2.210526315789474,0.5013196480938417,103,42
110,종로구,44.3,44.8,0.20634920634920634,2.988235294117647,2.716666666666667,0.49066666666666664,85,63
260,중랑구,42.3,41.5,0.19767441860465115,3.0416666666666665,2.6144578313253013,0.49746376811594206,144,86
590,동작구,41.0,39.1,0.1111111111111111,3.288135593220339,2.515151515151515,0.5048177083333334,118,72
530,구로구,33.8,34.7,0.21428571428571427,3.0921052631578947,2.380952380952381,0.45808080808080803,76,42
230,동대문구,31.5,31.7,0.2159090909090909,3.089430894308943,2.32183908045977,0.4576604554865424,123,88
140,중구,18.5,9.8,0.21621621621621623,2.8636363636363638,2.138888888888889,0.5155172413793104,88,37
620,관악구,15.9,15.4,0.10655737704918032,3.151639344262295,2.208695652173913,0.42904227950099516,244,122
470,양천구,14.1,8.8,0.19230769230769232,2.8181818181818183,2.230769230769231,0.47222222222222227,44,26
410,서대문구,9.0,12.5,0.125,2.6315789473684212,2.6818181818181817,0.37817460317460316,57,24
650,서초구,0.0,0.0,0.14285714285714285,3.1742424242424243,1.7872340425531914,0.3804157647907647,132,56
