자치구,행정동,전이확률,1위원인,1위SHAP,2위원인,2위SHAP,3위원인,3위SHAP
종로구,평창동,0.8865,최근인프라,2.3952,인프라밀도,1.6594,독거비율,0.6743
종로구,혜화동,0.8831,최근인프라,2.5311,인프라밀도,1.8259,독거비율,0.6255
중구,약수동,0.8777,고립변화(22→23),1.3399,최근인프라,1.2645,인프라밀도,0.7385
중구,청구동,0.8603,최근인프라,2.2924,인프라밀도,1.7424,독거비율,0.6473
용산구,후암동,0.8414,고립변화(22→23),1.3406,고립수준(외출↓),1.0967,최근인프라,1.0656
용산구,원효로2동,0.8408,최근인프라,2.2838,인프라밀도,1.7808,독거비율,0.5166
용산구,이촌1동,0.8352,최근인프라,2.0281,인프라밀도,1.3227,고립수준(외출↓),0.7106
용산구,보광동,0.8346,최근인프라,1.3679,고립변화(22→23),1.1716,독거비율,0.8061
용산구,청파동,0.8123,최근인프라,2.5155,인프라밀도,1.7202,독거비율,0.6138
용산구,한강로동,0.8099,최근인프라,1.9813,인프라밀도,1.5299,고립수준(외출↓),0.5443
용산구,한남동,0.7995,최근인프라,2.3843,인프라밀도,1.262,고립수준(외출↓),0.7364
성동구,왕십리2동,0.7728,고립수준(외출↓),1.1485,최근인프라,0.9274,고립변화(22→23),0.683
성동구,마장동,0.7658,이동수준,1.0302,고립수준(외출↓),0.7265,고립변화(22→23),0.7057
성동구,행당2동,0.7292,최근인프라,2.1828,인프라밀도,1.4326,고립수준(외출↓),0.7878
성동구,성수1가1동,0.7267,고립수준(외출↓),1.0931,최근인프라,0.9114,인프라밀도,0.7281
성동구,성수1가2동,0.7002,최근인프라,1.5951,인프라밀도,1.2632,독거비율,0.65
성동구,성수2가1동,0.695,최근인프라,2.0827,인프라밀도,1.1757,고립수준(외출↓),0.5462
성동구,송정동,0.6921,이동수준,0.9075,최근인프라,0.7829,고립변화(22→23),0.5918
성동구,용답동,0.6774,고립수준(외출↓),1.2605,이동수준,0.9795,인프라밀도,0.6269
성동구,왕십리도선동,0.6742,최근인프라,1.7912,인프라밀도,1.5444,고립수준(외출↓),0.3861
성동구,금호2·3가동,0.6598,최근인프라,1.4516,인프라밀도,0.805,고립변화(22→23),0.7043
성동구,옥수동,0.6559,최근인프라,1.0997,고립수준(외출↓),0.8347,인프라밀도,0.8315
광진구,화양동,0.6556,고립수준(외출↓),1.1314,최근인프라,0.9062,인프라밀도,0.7751
광진구,군자동,0.6456,최근인프라,0.9163,고립변화(22→23),0.8595,인프라밀도,0.6162
광진구,중곡1동,0.6452,최근인프라,1.5944,인프라밀도,0.829,독거비율,0.5206
광진구,중곡2동,0.6017,고립수준(외출↓),1.3864,이동수준,1.1341,최근인프라,0.528
광진구,중곡3동,0.5978,고립변화(22→23),1.4082,최근인프라,0.599,고립수준(외출↓),0.4472
광진구,중곡4동,0.5902,최근인프라,2.0884,인프라밀도,1.3329,고립수준(외출↓),0.6769
광진구,구의1동,0.584,최근인프라,2.2998,인프라밀도,1.6027,고립수준(외출↓),0.3529
광진구,구의2동,0.565,최근인프라,1.5058,인프라밀도,0.7842,독거비율,0.7409
광진구,구의3동,0.5621,최근인프라,1.8727,인프라밀도,1.0998,고립수준(외출↓),0.7029
광진구,광장동,0.5388,고립변화(22→23),1.0989,이동수준,1.0524,고립수준(외출↓),0.9778
광진구,자양1동,0.5357,최근인프라,1.3954,인프라밀도,1.0423,고립수준(외출↓),0.3413
광진구,자양2동,0.5247,고립변화(22→23),0.8542,고립수준(외출↓),0.7758,최근인프라,0.6205
광진구,자양3동,0.4785,고립수준(외출↓),1.0517,최근인프라,0.8092,인프라밀도,0.5316
광진구,자양4동,0.4668,고립변화(22→23),0.898,고립수준(외출↓),0.8551,최근인프라,0.5746
동대문구,휘경1동,0.4127,최근인프라,1.9355,인프라밀도,1.6386,독거비율,-0.44
동대문구,휘경2동,0.3877,이동수준,0.886,최근인프라,0.6414,고립수준(외출↓),0.5261
동대문구,청량리동,0.3833,이동수준,1.2194,고립수준(외출↓),1.0561,최근인프라,-0.4309
동대문구,용신동,0.3089,이동수준,0.9877,고립수준(외출↓),0.8137,최근인프라,0.4822
동대문구,제기동,0.2905,최근인프라,1.8681,인프라밀도,1.2557,고립수준(외출↓),0.4674
동대문구,전농1동,0.2858,최근인프라,0.9887,고립변화(22→23),0.6241,인프라밀도,0.5498
동대문구,전농2동,0.2515,최근인프라,1.4669,인프라밀도,0.9555,인구규모,-0.8507
동대문구,답십리2동,0.2431,최근인프라,1.1197,인프라밀도,0.9438,고립수준(외출↓),0.6217
동대문구,장안1동,0.2325,최근인프라,1.7259,인프라밀도,1.03,인구규모,-0.8377
동대문구,장안2동,0.2284,고립변화(22→23),0.6276,최근인프라,0.5342,인프라밀도,0.3916
동대문구,이문1동,0.2182,최근인프라,1.8338,인프라밀도,1.418,독거비율,-0.4551
동대문구,이문2동,0.2118,최근인프라,1.4247,인프라밀도,0.9358,고립수준(외출↓),0.1805
동대문구,답십리1동,0.2094,최근인프라,1.1076,고립변화(22→23),0.6663,인프라밀도,0.6266
중랑구,면목2동,0.1922,고립변화(22→23),0.9443,최근인프라,0.8576,고립수준(외출↓),-0.5951
중랑구,면목4동,0.1911,최근인프라,2.0647,인프라밀도,1.2579,인구규모,-0.7915
중랑구,면목7동,0.1895,최근인프라,0.7172,고립변화(22→23),0.5976,고립수준(외출↓),0.5868
중랑구,상봉1동,0.1835,최근인프라,0.8671,고립수준(외출↓),0.6092,이동수준,-0.4507
중랑구,상봉2동,0.1779,고립변화(22→23),0.9427,최근인프라,0.6321,고립수준(외출↓),0.6148
중랑구,중화1동,0.1681,최근인프라,0.7647,인프라밀도,0.4595,이동수준,0.3601
중랑구,중화2동,0.1602,최근인프라,0.6598,고립수준(외출↓),0.6353,인프라밀도,0.4818
중랑구,묵1동,0.1576,고립수준(외출↓),0.7749,최근인프라,0.7365,인프라밀도,0.475
중랑구,묵2동,0.1523,최근인프라,1.4016,인프라밀도,0.7759,독거비율,0.4195
중랑구,망우3동,0.1498,고립수준(외출↓),1.0226,이동수준,0.7629,인구규모,-0.6548
중랑구,신내1동,0.1462,고립수준(외출↓),1.0249,이동수준,0.846,고립변화(22→23),0.7599
중랑구,신내2동,0.1459,고립수준(외출↓),0.6114,배달의존수준,0.4412,최근인프라,0.4359
중랑구,면목본동,0.1428,최근인프라,1.4018,인프라밀도,0.7098,이동수준,-0.2759
중랑구,면목3·8동,0.1409,최근인프라,0.9743,인프라밀도,0.7219,고립변화(22→23),-0.4525
중랑구,망우본동,0.1371,최근인프라,1.4087,인프라밀도,0.9561,고립변화(22→23),-0.3977
성북구,돈암1동,0.1367,최근인프라,1.2719,인프라밀도,0.6458,이동수준,-0.3964
성북구,돈암2동,0.1271,최근인프라,1.3022,인프라밀도,0.6629,이동변화(22→23),-0.3811
성북구,정릉1동,0.126,최근인프라,0.8453,인프라밀도,0.5965,이동수준,0.2505
성북구,정릉2동,0.1257,고립변화(22→23),0.9888,최근인프라,-0.5883,고립수준(외출↓),0.5876
