행정동코드,자치구,행정동,adm_cd8,level_외출커뮤적은,level_이동횟수,level_배달식재료,level_독거비율,level_인프라,level_인구,delta_외출커뮤적은,delta_이동횟수,delta_배달식재료,delta_독거비율,adm_cd8_str,infra_slope,infra_delta,infra_recent,dep_2022,dep_2023,dep_2024,dep_2025,dep_slope_annual,label_slope,label_entry
1101053,종로구,사직동,11110530,10.444407770736515,23.808055555555555,1.2061111111111111,0.1560012322886385,1212.8125,1142.6970833333332,2.665628902971415,-9.3,-0.09277777777777763,-0.0013908261198421756,11110530,1.4838235294117648,17.5,1218.0,,,,,,0,
1101055,종로구,부암동,11110550,7.518802817974617,28.81111111111111,0.7190277777777777,0.09485839175820807,225.75,1138.5083333333334,-0.4009389692825698,-11.737222222222226,-0.6958333333333331,0.0009518149946802362,11110550,-1.4705882352941178,-17.75,218.0,,,,,,0,
1101056,종로구,평창동,11110560,11.029771589298182,30.09527777777778,0.997361111111111,0.06968544267621749,283.8125,2190.387708333333,0.6204568214036339,-12.081666666666667,-0.6030555555555555,7.56319358020674e-05,11110560,-1.8367647058823529,-22.25,269.0,26.2,30.7,19.6,30.4,0.15,0,0.0
1101057,종로구,무악동,11110570,2.119152529186027,28.32875,1.0205555555555557,0.09320116115085572,84.6875,885.0135416666667,0.9394727194057242,-11.628611111111113,-0.27833333333333354,8.326438599452757e-05,11110570,-0.35441176470588237,-4.5,79.0,,,,,,0,
1101058,종로구,교남동,11110580,2.1829831059212177,26.16833333333333,0.9045833333333333,0.14358075823912547,152.125,870.5160416666666,-1.2026328785091023,-10.296111111111106,0.13916666666666666,-0.008158174353599307,11110580,-0.9970588235294118,-13.25,141.0,,,,,,0,
1101061,종로구,종로1·2·3·4가동,11110615,43.41056430273342,17.767222222222223,1.4844444444444445,0.4381354890310212,2938.875,1528.6358333333335,-0.7955730499112903,-6.924444444444443,0.0,-0.033020888799786374,11110615,9.608823529411765,118.25,2999.0,,,100.0,98.4,-1.5999999999999943,0,
1101063,종로구,종로5·6가동,11110630,17.60108408075874,16.855138888888888,0.7654166666666666,0.27193448200032605,729.0,777.3275,-4.157723717073035,-5.2091666666666665,0.32472222222222213,-0.007285173738880268,11110630,-4.323529411764706,-53.25,697.0,,,,,,0,
1101064,종로구,이화동,11110640,14.312016491921327,19.49597222222222,0.8581944444444444,0.18718501651134167,387.6875,850.68375,0.6654114606017938,-7.371944444444445,0.04638888888888881,0.004945208115728517,11110640,1.4044117647058822,16.25,393.0,,,,,,0,
1101067,종로구,창신1동,11110670,11.582324360667059,16.783055555555553,0.25513888888888886,0.22098529737497496,411.1875,989.2341666666666,2.6686846119992147,-6.262777777777776,0.3247222222222222,0.007777345515900563,11110670,-0.2897058823529412,-4.5,408.0,,,,,,0,
1101068,종로구,창신2동,11110680,28.7019216570892,17.734583333333333,0.997361111111111,0.19109881812385354,234.4375,1497.4595833333333,4.468378908043828,-5.788611111111109,0.04638888888888881,0.0008143759117586746,11110680,-1.8367647058823529,-22.75,219.0,,,57.0,,,0,
1101069,종로구,창신3동,11110690,6.98991931748748,22.471111111111114,0.835,0.11306713341990435,99.1875,905.9270833333334,1.5629391428028159,-8.440000000000001,0.0,-0.002143645702787994,11110690,-0.8014705882352942,-9.25,90.0,,,,,,0,
1101070,종로구,숭인1동,11110700,6.164380954046367,21.858472222222222,0.8581944444444445,0.18992613059384456,109.3125,889.6591666666667,1.4562380919072657,-9.10527777777778,-0.5102777777777777,-0.016320927083458864,11110700,-0.7397058823529412,-8.75,108.0,,,,,,0,
1101071,종로구,숭인2동,11110710,11.211268294247274,20.294583333333332,1.3220833333333333,0.21736717216731027,392.375,1357.9058333333335,-1.5947588107167725,-7.73972222222222,0.4175,-0.008676173432722478,11110710,-2.2323529411764707,-28.0,372.0,,,,,,0,
1101072,종로구,청운효자동,11110515,10.307616124163646,26.4675,0.8581944444444444,0.08684107973889657,498.8125,1240.6454166666667,1.1264344183393753,-10.586666666666673,0.04638888888888881,0.0012899331266962716,11110515,0.9338235294117647,13.25,502.0,,,,,,0,
1101073,종로구,혜화동,11110650,21.230161163231656,23.442916666666665,1.0901388888888888,0.10635353689026764,827.5625,1616.3808333333334,1.2657887846477998,-8.970833333333331,0.046388888888889035,0.0011859088000403945,11110650,2.333823529411765,25.75,830.0,45.6,56.8,50.9,54.2,1.9900000000000007,1,0.0
1102054,중구,회현동,11140540,23.860893275097762,21.72625,0.6030555555555556,0.20115699982871274,994.3125,916.1370833333334,-0.7684532168621914,-8.803611111111113,-0.37111111111111117,0.007560774132606307,11140540,-2.0073529411764706,-24.75,990.0,,,,,,0,
1102055,중구,명동,11140550,13.879445144883562,20.583333333333336,1.0205555555555554,0.4108174210733545,1583.75,612.8141666666667,2.044998599121767,-8.04444444444444,0.18555555555555558,-0.07635593727208762,11140550,14.044117647058824,164.25,1673.0,,,,,,0,
