자치구,행정동,행정동코드,Dependency
종로구,종로1·2·3·4가동,11110615,100.0
강남구,역삼1동,11680640,89.8
구로구,구로2동,11530530,88.4
금천구,가산동,11545510,81.1
마포구,서교동,11440660,78.2
동대문구,제기동,11230545,77.7
영등포구,여의동,11560540,74.0
영등포구,영등포동,11560535,74.0
중랑구,면목본동,11260565,71.9
관악구,대학동,11620735,71.5
동대문구,용신동,11230536,71.3
강서구,화곡1동,11500540,71.2
구로구,구로4동,11530550,69.6
강동구,길동,11740685,69.5
금천구,독산3동,11545630,68.8
강남구,논현1동,11680521,68.1
강동구,천호2동,11740610,68.1
동대문구,장안1동,11230650,67.8
중랑구,망우본동,11260655,67.7
중랑구,중화2동,11260610,67.3
금천구,시흥1동,11545670,67.0
강남구,논현2동,11680531,66.4
구로구,가리봉동,11530595,65.3
중구,명동,11140550,65.2
영등포구,당산1동,11560550,64.8
구로구,구로5동,11530560,64.6
중구,광희동,11140590,64.5
은평구,역촌동,11380625,63.8
송파구,석촌동,11710600,63.6
송파구,방이2동,11710562,63.3
강북구,수유3동,11305635,63.2
광진구,화양동,11215710,63.0
동대문구,장안2동,11230660,62.8
양천구,신정4동,11470650,62.7
서초구,서초3동,11650530,62.3
송파구,잠실본동,11710650,62.2
동대문구,전농1동,11230560,61.9
금천구,독산1동,11545610,61.7
구로구,구로3동,11530540,61.6
강북구,송천동,11305555,61.3
중구,신당동,11140615,61.1
마포구,공덕동,11440565,61.1
강서구,등촌3동,11500535,60.8
송파구,가락본동,11710620,60.6
도봉구,방학1동,11320690,60.6
중랑구,면목2동,11260520,60.5
노원구,공릉1동,11350595,60.2
관악구,신림동,11620695,60.2
은평구,대조동,11380570,60.2
서대문구,연희동,11410615,59.7
광진구,자양4동,11215847,59.6
은평구,응암3동,11380600,59.6
성동구,마장동,11200540,59.5
성북구,석관동,11290810,59.5
중랑구,상봉2동,11260590,59.4
서대문구,신촌동,11410585,59.4
강동구,성내2동,11740650,59.1
서초구,양재2동,11650652,59.0
용산구,한강로동,11170625,58.9
성동구,성수2가1동,11200670,58.6
강북구,송중동,11305545,58.3
강남구,역삼2동,11680650,58.3
성북구,종암동,11290705,58.2
강북구,번1동,11305595,58.2
영등포구,대림2동,11560710,58.2
영등포구,문래동,11560605,57.6
광진구,구의1동,11215850,57.2
강서구,가양1동,11500603,56.8
동대문구,이문1동,11230740,56.8
서대문구,북가좌2동,11410720,56.5
강동구,암사1동,11740570,56.5
종로구,종로5·6가동,11110630,56.4
광진구,자양1동,11215820,56.3
금천구,독산2동,11545620,56.1
용산구,남영동,11170530,56.1
강북구,인수동,11305660,56.1
강서구,발산1동,11500611,55.8
금천구,시흥5동,11545710,55.6
광진구,중곡4동,11215770,55.2
성동구,성수2가3동,11200690,55.2
은평구,녹번동,11380510,55.1
성북구,삼선동,11290555,55.0
관악구,청룡동,11620595,55.0
강북구,미아동,11305535,54.9
강동구,천호3동,11740620,54.9
영등포구,대림3동,11560720,54.9
관악구,서원동,11620645,54.8
강남구,삼성2동,11680590,54.6
관악구,조원동,11620725,54.5
금천구,독산4동,11545640,54.4
동대문구,답십리2동,11230610,54.4
은평구,불광1동,11380520,54.3
성동구,왕십리도선동,11200535,54.3
강서구,화곡본동,11500590,54.3
관악구,신사동,11620685,54.3
강서구,방화1동,11500630,54.2
양천구,신월1동,11470560,54.2
관악구,은천동,11620605,54.1
노원구,상계2동,11350640,53.9
성동구,성수1가2동,11200660,53.9
중랑구,면목3·8동,11260575,53.9
광진구,군자동,11215730,53.8
강남구,대치4동,11680630,53.6
강남구,압구정동,11680545,53.5
서초구,양재1동,11650651,53.4
노원구,상계1동,11350630,53.3
관악구,행운동,11620575,53.3
도봉구,도봉1동,11320521,53.2
송파구,문정2동,11710642,53.0
동작구,흑석동,11590605,53.0
은평구,불광2동,11380530,52.9
광진구,중곡2동,11215750,52.8
관악구,서림동,11620665,52.8
관악구,신원동,11620655,52.7
강동구,성내3동,11740660,52.7
강동구,천호1동,11740600,52.6
강남구,청담동,11680565,52.6
송파구,송파1동,11710580,52.6
영등포구,영등포본동,11560515,52.4
중구,회현동,11140540,52.3
구로구,개봉1동,11530740,52.3
강북구,수유1동,11305615,52.3
동작구,노량진1동,11590510,52.2
